非晶态装甲云	Armure de brume
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs 重甲单位）。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Verrouille les armes du Cyclone sur l’unité ou le bâtiment aérien ciblé et inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> points de dégâts (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> aux unités blindées) en <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> secondes. Les quatre premiers tirs sont rapides. Fonctionne aussi en mouvement. S’interrompt si la cible s’éloigne hors de portée.<n/><n/><c val="#ColorAttackInfo">Ne peut pas cibler les unités et les bâtiments terrestres.</c>
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。前<c val="#ColorAttackInfo">12</c>次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Verrouille les armes du Cyclone sur l’unité ou le bâtiment aérien ciblé et inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> points de dégâts en <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> secondes. Les <c val="#ColorAttackInfo">12</c> premiers tirs s’enchaînent rapidement. Fonctionne aussi en mouvement. S’interrompt si la cible s’éloigne hors de portée.<n/><n/><c val="#ColorAttackInfo">Ne peut pas cibler les unités et les bâtiments terrestres.</c>
使飓风的武器锁定目标单位，对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。开火时可以移动。如果目标离开射程后则取消。	Verrouille les armes du Cyclone sur l’unité ciblée, infligeant <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> (+400 aux unités blindées) points de dégâts en <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondes aux unités terrestres et aériennes. Fonctionne aussi en mouvement. S’interrompt si la cible s’éloigne hors de portée.
为潜伏者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使刺蛇可以进化为潜伏者	Permet des améliorations pour les rôdeurs.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Rôdeur à partir d’un hydralisk
矿物采集设备原型，工作效率高于SCV。矿骡的系统在持续工作<d time="90"/>后会瘫痪。	Prototype d’unité de récolte. Récolte le minerai plus vite que les VCS normaux. Les systèmes du MULE ont une durée de vie de <d time="90"/> secondes.
使<c val="ffff8a">飓风</c>的攻击射程+<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>。	Augmente de +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/> la portée d'attaque du <c val="ffff8a">Cyclone</c>.
将目标区域内的所有玩家单位传送至母舰。	Téléporte toutes les unités du joueur dans la zone ciblée vers le vaisseau mère.
提高医疗运输机的移动速度，持续<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。	Augmente la vitesse de déplacement du Médivac pendant <d ref="Behavior,MedivacSpeedBoost,Duration"/> secondes.
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>只幼虫。如果孵化场、虫穴或主巢现有幼虫数量超过3只，则会停止常规的幼虫孵化，直至数量少于3只。当目标已经在孵化额外的幼虫时，这一效果会叠加并进入队列。	La couveuse, le terrier ou la ruche ciblé génère <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> larves en <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> secondes. La production normale de larves sera suspendue tant qu’il y aura 3 larves ou plus autour du bâtiment. Les ordres de production se cumuleront et se placeront en file d'attente si la cible est déjà en train de générer des larves supplémentaires.
升级为母舰。可以使用光子超载、群体召回和时间扭曲技能。使附近的单位和建筑隐形。	Amélioration en vaisseau mère. Peut utiliser Surcharge photonique, Rappel en masse et Distorsion temporelle. Camoufle les unités et bâtiments proches.
把侦测器变形为标准的侦测器模式。使其能够随意移动，但视野范围会变小。	L’observateur passe en mode observateur standard. Permet à l’observateur de se déplacer, mais réduit son champ de vision.
把侦测器变形为监察模式。视野提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但无法移动。	L’observateur passe en mode surveillance. Son champ de vision augmente de <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%, mais il perd la capacité à se déplacer.
开启王虫运输单位的能力。	Permet au dominant de transporter des unités.
恢复眼虫的移动能力，并使其视野回到正常范围。	Le vigilant peut de nouveau se déplacer et récupère son champ de vision normal.
使眼虫的视野范围扩大<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% ，但失去移动能力。该技能在激活后可以取消。	Le champ de vision du vigilant augmente de <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>%, mais il perd sa capacité à se déplacer. Peut être annulé après activation.
终极星灵战舰。能够使用战术召回和时间扭曲技能。使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Vaisseau protoss ultime. Peut utiliser Rappel stratégique et Distorsion temporelle. Camoufle les unités et bâtiments alliés proches.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres et aériennes.</c>
为目标水晶塔的心能水晶充能，使其变成一个威力巨大的武器，能造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>点伤害，持续<d ref="Behavior,Purify,Duration[0]"/>秒。	Alimente le cristal Khaydarin du pylône ciblé, le transformant en une puissante arme à longue portée pendant <d ref="Behavior,Purify,Duration[0]"/> secondes, infligeant <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> points de dégâts.
目标单位被感染者控制，持续<d ref="Behavior,NeuralParasite,Duration"/>秒。感染者在控制期间无法进行其他动作。<n/><n/><c val="ffff8a">该技能需要引导。可以在潜地时施放。</c><n/><c val="#ColorAttackInfo">英雄单位免疫。</c>	L’unité ciblée est contrôlée par l’infestateur pendant <d ref="Behavior,NeuralParasite,Duration"/> secondes. L’infestateur ne peut pas effectuer d’autre action tant qu’il contrôle une unité ennemie.<n/><n/><c val="ffff8a">Capacité canalisée. Peut être utilisé en étant enfoui.</c><n/><c val="#ColorAttackInfo">Les unités héroïques sont immunisées.</c>
基础建筑，用于接收采集到的资源。可以使用时空提速、群体召回技能。<n/><n/><c val="ffff8a">开启：</c><n/>- 探机<n/>- 母舰	Bâtiment principal. Reçoit les ressources collectées. Peut utiliser les capacités Poussée temporelle et Rappel en masse.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Sonde<n/>- Vaisseau mère
将目标区域内所有该玩家的单位召回至星灵枢纽。	Téléporte toutes les unités du joueur dans la zone ciblée au Nexus.
星灵枢纽会自动使用能量来恢复附近单位的护盾。	Le Nexus utilise l’énergie automatiquement pour restaurer les boucliers des unités proches.
星灵枢纽不再自动把友方单位设为目标。	Le Nexus ne cible plus automatiquement les unités alliées.
为目标单位或建筑恢复护盾。<n/><n/><c val="ffff8a">每恢复<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>点护盾消耗1点能量。 </c>	Reconstitue le bouclier de l’unité ou du bâtiment ciblé.<n/><n/><c val="ffff8a">Coûte 1 point d’énergie par <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> point de bouclier restauré.</c>
为目标水晶塔的凯达琳水晶充能，把它变成可以为友方单位恢复护盾的建筑，持续<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> 秒。	Alimente le cristal Khaydarin du pylône ciblé, le transformant en un bâtiment qui restaure le bouclier des unités alliées pendant <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> secondes.
坑道虫在从地面钻出时拥有<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>点护甲。	Confère <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> points d’armure aux vers de Nydus quand ils refont surface.
在目标位置放置一个隐形的静滞结界，持续<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。一旦被一个敌方地面单位触发，该结界将使附近的敌方单位陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击或被技能影响。	Place à l’endroit ciblé une mine de stase camouflée qui dure <d ref="Behavior,StasisWardTimedLife,Duration"/> secondes. Lorsqu’une unité terrestre adverse déclenche la mine, les ennemis proches se retrouvent plongés en stase pendant <d ref="Behavior,OracleStasisTrapTarget,Duration"/> secondes. Les unités ainsi immobilisées ne peuvent plus être la cible d’attaques ou de capacités.
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。可以使用超距视界、孵化拟态雏虫和污染技能。<n/><n/><c val="FFE303">侦测单位</c>	Observateur aérien avancé. Fournit le même ravitaillement qu’un dominant. Peut utiliser les capacités Vigilance, Générer un changelin et Infecter.<n/><n/><c val="FFE303">Détecteur</c>
生成一团寄生云，在<d ref="Behavior,ParasiticBomb,Duration"/>秒内对目标和附近的敌方空中单位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>点伤害。如果目标死亡，寄生云会在敌人的死亡位置一直存在直至消失。<n/><n/><c val="#ColorAttackInfo">无法选择地面单位或建筑作为目标。</c>	Crée un nuage de parasites qui inflige <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> points de dégâts en <d ref="Behavior,ParasiticBomb,Duration"/> secondes à la cible et aux unités aériennes ennemies à proximité. Si la cible est tuée, le nuage reste dans les airs à l’endroit où l’ennemi a été tué pendant le restant de la durée. <n/><n/><c val="#ColorAttackInfo">Ne peut pas cibler d’unités terrestres ou de bâtiments.</c>
自动防御激光，可以拦截敌军导弹。无法拦截特殊攻击。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	Laser défensif automatisé qui intercepte toute une variété de projectiles ennemis. N’intercepte pas les attaques spéciales.<n/><n/><c val="f078ff">Chaque tir consomme 10 points d’énergie.</c>
强化狂热者的冲锋，对被冲锋目标造成<d ref="Effect,ChargingDamage,Amount"/>点伤害。	Améliore la charge du zélote, qui inflige <d ref="Effect,ChargingDamage,Amount"/> points de dégâts à la cible chargée.
发射一枚能量球，持续<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒，并产生一道强力的能量新星，对附近的地面单位和建筑造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害和额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点对护盾的伤害。干扰者在激活该技能的时候无法移动。	Projette une boule d’énergie qui dure  <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> secondes et émet une puissante nova qui inflige <d ref="Effect,PurificationNovaDamage,Amount"/> points de dégâts de zone, plus <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> points de dégâts aux boucliers des unités terrestres et des bâtiments proches. Le disrupteur ne peut se déplacer tant que cette capacité est active.
医疗运输机的后燃推进系统的冷却时间缩短<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>秒，提高医疗运输机的移动速度。	Réduit le temps de recharge d’Allumage de la post-combustion du Médivac de <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> et augmente la vitesse de déplacement du Médivac.
空中支援单位。能够使用自动机炮、干扰矩阵、和反护甲飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Unité de soutien aérien. Peut utiliser les capacités Tourelle automatisée, Matrice d’interférences et Missiles anti-armure.<n/><n/><c val="FFE303">Détecteur</c>
铁鸦的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Augmente le rayon de l’explosion du missile anti-armure du Corbeau de 20% et sa portée de poursuite de 50%.
猎杀飞弹的伤害提高30%，追击距离扩大50%。	Augmente les dégâts du missile à tête chercheuse de 30% et sa portée de poursuite de 50%.
修理周围的友方机械单位，持续<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。	Répare les unités mécaniques proches pendant <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> secondes.
修理一个友方机械目标。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>点生命值。</c>	Répare une unité mécanique alliée.<n/><n/><c val="f078ff">Rend <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> points de vie par point d’énergie.</c>
