Amorphous Armorcloud	Аморфное бронеоблако
Warp In Ascendent	Вызвать посвященного
Whirlwind	Вихрь
Wild Mutation Map-Wide	Всеобщая дикая мутация
Advanced Cloaking Field	Улучшенное маскировочное поле
Xel'Naga Shieldguard	Хранитель щитов зел-нага
Inject Larva	Ввод личинки
Broodling Incubation	Инкубация симбионтов
Incubate Banelings	Инкубация гиблингов
Incubate Scourge	Инкубация слепней
Mass Frenzy	Массовое бешенство
Evasion	Ускользание
Warp in Legionnaire	Вызвать легионера
Prismatic Range	Дальнобойный луч
ZeratulArtifactUpgradeTier	ZeratulArtifactUpgradeTier
Telbrus Legion	Легион Телбруса
Zoraya Legion	Легион Зораи
Serdath Legion	Легион Сердата
Deploy Tesseract Monolith	Тессерактовый монолит
Steadfast Reinforcements	Стойкие резервы
Tesseract Matrix	Тессерактовая матрица
Avatar of Form	Аватара формы
Avatar of Essence	Аватара эссенции
Chronometry	Хронометрия
