Amorphous Armorcloud	Amorphe Deckungswolke
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs Armored) damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First four shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	Nimmt eine Lufteinheit oder ein fliegendes Gebäude ins Visier. Verursacht im Verlauf von <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> Sek. <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> Schaden (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> Bonusschaden gegen gepanzerte Einheiten). Gibt die ersten vier Schüsse besonders schnell ab. Kann sich beim Feuern bewegen. Wird abgebrochen, wenn das Ziel außer Reichweite gelangt.<n/><n/><c val="#ColorAttackInfo">Kann keine Bodeneinheiten oder Gebäude am Boden anvisieren.</c>
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First <c val="#ColorAttackInfo">12</c> shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	Nimmt eine Lufteinheit oder ein fliegendes Gebäude ins Visier. Verursacht im Verlauf von <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> Sek. <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> Schaden. Die ersten <c val="#ColorAttackInfo">12</c> Schüsse werden schnell abgefeuert. Kann sich beim Feuern bewegen. Wird abgebrochen, wenn das Ziel außer Reichweite gelangt.<n/><n/><c val="#ColorAttackInfo">Kann keine Bodeneinheiten oder Gebäude am Boden anvisieren.</c>
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Nimmt eine Boden- oder Lufteinheit ins Visier. Verursacht im Verlauf von <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> Sek. <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> (+400 gegen gepanzerte Einheiten) Schaden. Kann sich beim Feuern bewegen. Wird abgebrochen, wenn das Ziel außer Reichweite gelangt.
Contains an upgrade for Lurkers.<n/><n/><c val="ffff8a">Enables:</c><n/>- Lurkers from Hydralisks	Bietet Upgrademöglichkeiten für Schleicher.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Schleicher aus Hydralisken
Prototype harvesting unit. Gathers minerals more quickly than regular SCVs. MULEs last <d time="90"/> before their systems fail.	Abbaueinheitenprototyp. Baut Mineralien schneller ab als normale WBFs. M.U.L.E.s halten <d time="90"/>, bevor ihre Systeme versagen.
Increases <c val="ffff8a">Cyclone's</c> attack range by +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.	Erhöht die Angriffsreichweite von <c val="ffff8a">Zyklonen</c> um <d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.
Recalls all player units in the target area to the Mothership.	Teleportiert alle Einheiten des Spielers im Zielgebiet zum Mutterschiff.
Increases the Medivac's movement speed for <d ref="Behavior,MedivacSpeedBoost,Duration"/> seconds.	Erhöht die Bewegungsgeschwindigkeit des Medivacs <d ref="Behavior,MedivacSpeedBoost,Duration"/> Sek. lang.
Target Hatchery, Lair, or Hive spawns <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larvae in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> seconds. If Hatchery, Lair, or Hive has more than 3 Larvae at one time, regular Larva production will stop until there are fewer than 3 Larvae. This will stack and queue if the target is already spawning additional Larva.	Brutstätte, Bau oder Schwarmstock auswählen, um <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larven in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> Sek. zu erschaffen. Wenn Brutstätte, Bau oder Schwarmstock mehr als 3 Larven haben, wird die normale Larvenproduktion angehalten, bis weniger als 3 Larven vorhanden sind. Dies ist stapelbar und wird eingereiht, wenn das Ziel bereits zusätzliche Larven erschafft.
Upgrades into the Mothership. Can use Photon Overcharge, Mass Recall and Time Warp. Cloaks nearby units and structures.	Zu Mutterschiff ausbauen. Kann die Fähigkeiten "Photonenüberladung", "Massenrückruf" und "Zeitkrümmung" einsetzen. Tarnt Einheiten und Gebäude in der Nähe.
Transforms the Observer to standard Observer Mode. Allows the Observer to move at the cost of decreased sight radius.	Transformiert den Beobachter in den normalen Beobachtermodus. Der Beobachter kann sich wieder bewegen, dabei wird jedoch der Sichtradius verringert.
Transforms the Observer to Surveillance Mode. The Observer gains <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% wider vision, but loses the ability to move.	Transformiert den Beobachter in den Überwachungsmodus. Der Sichtradius des Beobachters wird um <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% erhöht, er kann sich jedoch nicht mehr bewegen.
Enables the Overlord to transport units.	Ermöglicht es dem Overlord, Einheiten zu transportieren.
Restores the Overseer's ability to move and returns its vision to its normal radius.	Macht den Overseer wieder beweglich und verringert seinen Sichtradius auf normale Weite.
Grants the Overseer <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% wider vision, but removes its ability to move. This ability can be canceled after activation.	Erhöht den Sichtradius des Overseers um <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>%, macht ihn jedoch unbeweglich. Diese Fähigkeit kann wieder deaktiviert werden.
Ultimate Protoss vessel. Can use Strategic Recall and Time Warp abilities. Cloaks nearby friendly units and structures.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Ultimatives Protoss-Schiff. Kann die Fähigkeiten "Strategischer Rückruf" und "Zeitkrümmung" einsetzen. Tarnt verbündete Einheiten und Gebäude in der Nähe.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a powerful long-range weapon for <d ref="Behavior,Purify,Duration[0]"/> seconds that deals <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> damage.	Energetisiert den Khaydarin-Kristall des anvisierten Pylons und gewährt ihm <d ref="Behavior,Purify,Duration[0]"/> Sek. lang eine mächtige Langstreckenwaffe, die <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> Schaden verursacht.
Target unit is controlled by the Infestor for <d ref="Behavior,NeuralParasite,Duration"/> seconds. The Infestor cannot take any other action while controlling an enemy unit.<n/><n/><c val="ffff8a">Channeled ability. Can cast while burrowed.</c><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	Die Zieleinheit wird <d ref="Behavior,NeuralParasite,Duration"/> Sek. lang vom Verseucher kontrolliert. Der Verseucher kann währenddessen keine anderen Aktionen ausführen.<n/><n/><c val="ffff8a">Kanalisierte Fähigkeit. Kann im eingegrabenen Zustand eingesetzt werden.</c><n/><c val="#ColorAttackInfo">Heroische Einheiten sind dagegen immun.</c>
Primary structure. Can receive gathered resources. Can use the Chrono Boost and Mass Recall abilities.<n/><n/><c val="ffff8a">Enables:</c><n/>- Probes<n/>- Mothership	Hauptgebäude. Dient als Abgabestelle für abgebaute Ressourcen. Kann die Fähigkeiten "Zeitschleife" und "Massenrückruf" einsetzen.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Sonden<n/>- Mutterschiff
Recalls all units owned by the player in the target area to the Nexus.	Teleportiert alle Einheiten des Spielers im Zielgebiet zum Nexus.
Nexus will automatically use energy to restore shields of nearby units.	Der Nexus wendet automatisch Energie auf, um die Schilde verbündeter Einheiten in der Nähe aufzuladen.
Nexus will no longer automatically target friendly units.	Der Nexus wählt nicht mehr automatisch Ziele zum Aufladen der Schilde aus.
Restore shields of target unit or structure.<n/><n/><c val="ffff8a">Costs 1 energy for every <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> shields restored.</c>	Stellt die Schildpunkte der Zieleinheit oder des Zielgebäudes wieder her.<n/><n/><c val="ffff8a">Kostet 1 Energie pro <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> wiederhergestellte Schildpunkte.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a structure that restores shields of friendly units for <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> seconds.	Energetisiert den Khaydarin-Kristall des anvisierten Pylons und lässt ihn <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> Sek. lang die Schilde verbündeter Einheiten aufladen.
Nydus Worms have <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> armor when emerging from the ground.	Nyduswürmer haben <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> Panzerung, wenn sie aus dem Erdboden hervorstoßen.
Places a cloaked Stasis Ward at the target location that lasts <d ref="Behavior,StasisWardTimedLife,Duration"/> seconds. Once activated by an enemy ground unit, the ward traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Platziert eine getarnte Stasisfalle am Zielort, die <d ref="Behavior,StasisWardTimedLife,Duration"/> Sek. lang anhält. Wenn sie von einer feindlichen Bodeneinheit ausgelöst wird, werden alle Gegner in der Nähe <d ref="Behavior,OracleStasisTrapTarget,Duration"/> Sek. lang in Stasis versetzt. Auf diese Weise gefangene Einheiten können weder angegriffen noch von Fähigkeiten getroffen werden.
Advanced aerial observer. Maintains the unit cap set by the Overlord. Can use the Oversight, Spawn Changeling, and Contaminate abilities.<n/><n/><c val="FFE303">Detector</c>	Fortgeschrittene Luftüberwachungseinheit. Bietet dieselbe Versorgung wie der Overlord. Kann die Fähigkeiten "Spionage", "Formling erschaffen" und "Kontamination" einsetzen.<n/><n/><c val="FFE303">Detektor</c>
Creates a parasitic cloud that deals <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> damage over <d ref="Behavior,ParasiticBomb,Duration"/> seconds to the target and enemy air units nearby. If the target dies, the cloud remains in the air where the enemy died until it expires.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or structures.</c>	Erschafft eine Parasitenwolke, die dem Ziel sowie gegnerischen Lufteinheiten in der Nähe im Verlauf von <d ref="Behavior,ParasiticBomb,Duration"/> Sek. <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> Schaden zufügt. Wenn das Ziel stirbt, verbleibt die Wolke für den Rest ihrer Dauer am entsprechenden Todesort.<n/><n/><c val="#ColorAttackInfo">Kann keine Bodeneinheiten oder Gebäude anvisieren.</c>
Automated defensive laser that intercepts a variety of enemy projectiles. Does not intercept special attacks.<n/><n/><c val="f078ff">Each shot consumes 10 energy.</c>	Automatischer Verteidigungslaser, der gegnerische Projektile abfängt. Wirkt sich nicht auf Spezialangriffe aus.<n/><n/><c val="f078ff">Jeder Schuss verbraucht 10 Energie.</c>
Improves the Zealot's Charge to deal <d ref="Effect,ChargingDamage,Amount"/> damage to the charged target.	Verbessert den Sturmangriff von Berserkern, sodass er dem Ziel <d ref="Effect,ChargingDamage,Amount"/> Schaden zufügt.
Shoots out a ball of energy that lasts <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds and emits a powerful nova dealing <d ref="Effect,PurificationNovaDamage,Amount"/> splash damage and an additional <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> shield damage to nearby ground units and structures. The Disruptor is immobile while this is active.	Feuert eine Energiesphäre ab, die <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> Sek. lang bestehen bleibt und eine mächtige Nova abgibt, die allen Bodeneinheiten und Gebäuden im Wirkungsbereich <d ref="Effect,PurificationNovaDamage,Amount"/> Flächenschaden und zusätzlich <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> Schildschaden zufügt. Der Disruptor ist während dieser Zeit unbeweglich.
Reduces the cooldown of Medivac's Ignite Afterburners by <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> and increases the movement speed of Medivacs.	Verringert die Abklingzeit der Nachbrenner von Medivacs um <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> und erhöht die Bewegungsgeschwindigkeit von Medivacs.
Aerial support unit. Can use Auto-Turret, Interference Matrix, and Anti-Armor Missile.<n/><n/><c val="FFE303">Detector</c>	Fliegende Unterstützungseinheit. Kann die Fähigkeiten "Automatischer Geschützturm", "Störmatrix" und "Panzerabwehrrakete" einsetzen.<n/><n/><c val="FFE303">Detektor</c>
Increases the Raven's Anti-Armor Missile explosion radius by 20% and its tracking range by 50%.	Erhöht den Explosionsradius der Panzerabwehrrakete des Raven um 20% und ihre Verfolgungsreichweite um 50%.
