Amorphous Armorcloud	Zasłona amorficzna
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs Armored) damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First four shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	Powoduje, że broń cyklonu namierza wskazaną latającą jednostkę lub strukturę i zadaje <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> pkt. obrażeń (+ <d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> przeciwko celom opancerzonym) przez <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> sek. Pierwsze cztery strzały oddawane są szybko. Zdolność pozwala poruszać się i atakować jednocześnie i zostaje anulowana, gdy cel znajdzie się poza zasięgiem.<n/><n/><c val="#ColorAttackInfo">Nie obiera za cel budowli i jednostek naziemnych.</c>
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First <c val="#ColorAttackInfo">12</c> shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	Powoduje, że broń cyklonu namierza wskazaną latającą jednostkę lub strukturę i zadaje <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> pkt. obrażeń w ciągu <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> sek. Pierwsze <c val="#ColorAttackInfo">12</c> strzałów oddawanych jest szybko. Zdolność pozwala poruszać się i atakować jednocześnie i zostaje anulowana, gdy cel znajdzie się poza zasięgiem.<n/><n/><c val="#ColorAttackInfo">Nie może obierać za cel budowli i jednostek naziemnych.</c>
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Powoduje, że cyklon namierza wskazaną jednostkę i zadaje <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> pkt. obrażeń (+400 przeciwko celom opancerzonym) w ciągu <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> sek. celom naziemnym i latającym. Pozwala poruszać się i atakować jednocześnie. Zdolność zostaje anulowana, gdy cel znajdzie się poza zasięgiem.
Contains an upgrade for Lurkers.<n/><n/><c val="ffff8a">Enables:</c><n/>- Lurkers from Hydralisks	Umożliwia ulepszanie czyhaczy.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – czyhacze z hydralisków.
Prototype harvesting unit. Gathers minerals more quickly than regular SCVs. MULEs last <d time="90"/> before their systems fail.	Prototypowa jednostka wydobywcza. Zbiera minerały szybciej niż ERK. MUŁ-y pracują przez <d time="90"/>, potem ich systemy zawodzą.
Increases <c val="ffff8a">Cyclone's</c> attack range by +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.	Zwiększają zasięg ataku <c val="ffff8a">cyklona</c> o <d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.
Recalls all player units in the target area to the Mothership.	Przywołuje do statku-matki wszystkie jednostki gracza znajdujące się na wskazanym obszarze.
Increases the Medivac's movement speed for <d ref="Behavior,MedivacSpeedBoost,Duration"/> seconds.	Zwiększa szybkość promu medycznego na <d ref="Behavior,MedivacSpeedBoost,Duration"/> sek.
Target Hatchery, Lair, or Hive spawns <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larvae in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> seconds. If Hatchery, Lair, or Hive has more than 3 Larvae at one time, regular Larva production will stop until there are fewer than 3 Larvae. This will stack and queue if the target is already spawning additional Larva.	Wskazana wylęgarnia, leże lub ul powija larwy w ilości <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> w ciągu <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> sek. Jeśli wylęgarnia, leże lub ul posiadają więcej niż 3 larwy jednocześnie, podstawowa produkcja larw zostaje wstrzymana, dopóki ich liczba nie spadnie poniżej 3. Efekt kumuluje się i kolejkuje, jeśli cel powija już dodatkowe larwy.
Upgrades into the Mothership. Can use Photon Overcharge, Mass Recall and Time Warp. Cloaks nearby units and structures.	Ulepsza się do statku-matki. Może korzystać z przeciążenia fotonowego, przywołania zbiorczego i zakrzywienia czasoprzestrzeni. Maskuje pobliskie jednostki i budowle.
Transforms the Observer to standard Observer Mode. Allows the Observer to move at the cost of decreased sight radius.	Przełącza jednostkę w standardowy tryb obserwatora. Pozwala na poruszanie się, ale kosztem zmniejszonego zasięgu widzenia.
Transforms the Observer to Surveillance Mode. The Observer gains <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% wider vision, but loses the ability to move.	Przełącza jednostkę w tryb nadzoru. Szerokość pola widzenia obserwatora wzrasta o <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%, ale traci on możliwość poruszania się.
Enables the Overlord to transport units.	Umożliwia nadrządcy transportowanie jednostek.
Restores the Overseer's ability to move and returns its vision to its normal radius.	Przywraca nadzorcy zdolność ruchu i normalny zasięg pola widzenia.
Grants the Overseer <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% wider vision, but removes its ability to move. This ability can be canceled after activation.	Zwiększa szerokość pola widzenia nadzorcy o <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>%, ale pozbawia go możliwości poruszania się. Zdolność można anulować po aktywacji.
Ultimate Protoss vessel. Can use Strategic Recall and Time Warp abilities. Cloaks nearby friendly units and structures.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Najpotężniejszy okręt protosów. Korzysta ze zdolności przywołania strategicznego i zakrzywienia czasoprzestrzeni. Zapewnia maskowanie pobliskim, sojuszniczym jednostkom oraz budowlom.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a powerful long-range weapon for <d ref="Behavior,Purify,Duration[0]"/> seconds that deals <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> damage.	Napełnia kryształ khaydarinowy wskazanego pylonu energią, zamieniając go na <d ref="Behavior,Purify,Duration[0]"/> sek. w potężną broń dalekiego zasięgu, która zadaje <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> pkt. obrażeń.
Target unit is controlled by the Infestor for <d ref="Behavior,NeuralParasite,Duration"/> seconds. The Infestor cannot take any other action while controlling an enemy unit.<n/><n/><c val="ffff8a">Channeled ability. Can cast while burrowed.</c><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	Wybrana jednostka jest kontrolowana przez infektora przez <d ref="Behavior,NeuralParasite,Duration"/> sek. Infektor nie może robić nic innego, gdy kontroluje jednostkę.<n/><n/><c val="ffff8a">Umiejętność podtrzymywana. Można z niej korzystać podczas zagrzebania.</c><n/><c val="#ColorAttackInfo">Nie działa na jednostki bohaterskie.</c>
Primary structure. Can receive gathered resources. Can use the Chrono Boost and Mass Recall abilities.<n/><n/><c val="ffff8a">Enables:</c><n/>- Probes<n/>- Mothership	Budowla główna. Może gromadzić surowce i korzystać ze zdolności zaginania czasoprzestrzeni i przywołania zbiorczego.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– próbniki,<n/>– statek-matkę.
Recalls all units owned by the player in the target area to the Nexus.	Przenosi wszystkie jednostki gracza ze wskazanego obszaru w pobliże nexusa.
Nexus will automatically use energy to restore shields of nearby units.	Nexus automatycznie wykorzystuje energię, aby doładować osłony pobliskich jednostek.
Nexus will no longer automatically target friendly units.	Nexus nie będzie automatycznie dobierał za cel jednostek sojuszniczych.
Restore shields of target unit or structure.<n/><n/><c val="ffff8a">Costs 1 energy for every <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> shields restored.</c>	Regeneruje osłony wskazanej jednostki lub budowli.<n/><n/><c val="ffff8a">Zużywa 1 pkt. energii za każde przywrócone <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> pkt. osłon.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a structure that restores shields of friendly units for <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> seconds.	Napełnia kryształ khaydarinowy wskazanego pylonu energią i pozwala mu przez <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> sek. przywracać osłony jednostek sojuszniczych.
Nydus Worms have <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> armor when emerging from the ground.	Czerwie nydusowe posiadają <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> pkt. pancerza, kiedy wyłaniają się z ziemi.
Places a cloaked Stasis Ward at the target location that lasts <d ref="Behavior,StasisWardTimedLife,Duration"/> seconds. Once activated by an enemy ground unit, the ward traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Umieszcza w wyznaczonym miejscu zamaskowane okowy zastoju, które działają <d ref="Behavior,StasisWardTimedLife,Duration"/> sek. Kiedy wroga jednostka naziemna aktywuje okowy, więżą one pobliskich wrogów na <d ref="Behavior,OracleStasisTrapTarget,Duration"/> sek. Schwytane jednostki nie mogą być atakowane ani objęte efektami umiejętności.
Advanced aerial observer. Maintains the unit cap set by the Overlord. Can use the Oversight, Spawn Changeling, and Contaminate abilities.<n/><n/><c val="FFE303">Detector</c>	Zaawansowany obserwator powietrzny. Zapewnia to samo zaopatrzenie co nadrządca. Może korzystać ze zdolności nadzoru oraz skażenia i powijać odmieńce.<n/><n/><c val="FFE303">Wykrywacz</c>
Creates a parasitic cloud that deals <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> damage over <d ref="Behavior,ParasiticBomb,Duration"/> seconds to the target and enemy air units nearby. If the target dies, the cloud remains in the air where the enemy died until it expires.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or structures.</c>	Tworzy chmurę pasożytów, która zadaje celowi i wrogim jednostkom w pobliżu <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> pkt. obrażeń przez <d ref="Behavior,ParasiticBomb,Duration"/> sek. Jeśli cel zginie, chmura utrzyma się w powietrzu, w miejscu, w którym się on znajdował, do końca czasu działania zdolności.<n/><n/><c val="#ColorAttackInfo">Nie może atakować jednostek naziemnych ani budowli.</c>
Automated defensive laser that intercepts a variety of enemy projectiles. Does not intercept special attacks.<n/><n/><c val="f078ff">Each shot consumes 10 energy.</c>	Automatyczny laser obronny, który przechwytuje wrogie pociski. Nie przechwytuje ataków specjalnych.<n/><n/><c val="f078ff">Każdy strzał wykorzystuje 10 pkt. energii.</c>
Improves the Zealot's Charge to deal <d ref="Effect,ChargingDamage,Amount"/> damage to the charged target.	Ulepsza szarżę zelotów, aby zadawała <d ref="Effect,ChargingDamage,Amount"/> pkt. obrażeń atakowanym celom.
Shoots out a ball of energy that lasts <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds and emits a powerful nova dealing <d ref="Effect,PurificationNovaDamage,Amount"/> splash damage and an additional <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> shield damage to nearby ground units and structures. The Disruptor is immobile while this is active.	Wypuszcza kulę energii utrzymującą się <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> sek. i wyzwalającą silne wyładowanie energii, które zadaje pobliskim jednostkom naziemnym i budowlom <d ref="Effect,PurificationNovaDamage,Amount"/> pkt. obrażeń rozpryskowych oraz dodatkowe <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> pkt. obrażeń ich osłonom. Kiedy zdolność jest aktywna, destabilizator nie może się poruszać.
Reduces the cooldown of Medivac's Ignite Afterburners by <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> and increases the movement speed of Medivacs.	Skraca czas odnowienia zdolności uruchom dopalacze promów medycznych o <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> i zwiększa szybkość ruchu promów.
Aerial support unit. Can use Auto-Turret, Interference Matrix, and Anti-Armor Missile.<n/><n/><c val="FFE303">Detector</c>	Jednostka wsparcia powietrznego. Może używać wieżyczki automatycznej, matrycy zakłócającej i pocisków przeciwpancernych.<n/><n/><c val="FFE303">Wykrywacz</c>
Increases the Raven's Anti-Armor Missile explosion radius by 20% and its tracking range by 50%.	Zwiększa promień eksplozji pocisku przeciwpancernego kruka o 20%, a zasięg namierzania o 50%.
Increases the Seeker Missile's damage by 30% and its tracking range by 50%.	Zwiększa ilość obrażeń zadawanych przez pocisk Łowca o 30% i zasięg namierzania o 50%.
Repairs nearby friendly mechanical units for <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> seconds.	Naprawia pobliskie, sojusznicze jednostki mechaniczne przez <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> sek.
