Amorphous Armorcloud	Blindagem Nebulosa Amorfa
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs Armored) damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First four shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	Trava as armas do Ciclone na unidade ou estrutura aérea selecionada, causando <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (+ <d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> contra alvos blindados) de dano ao longo de <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> s. Os quatro primeiros tiros são rápidos. Pode se mover enquanto dispara. É cancelado se o alvo sair do alcance.<n/><n/><c val="#ColorAttackInfo">Não pode alvejar unidades e estruturas terrestres.</c>
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First <c val="#ColorAttackInfo">12</c> shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	Trava as armas do Ciclone na unidade ou estrutura aérea selecionada, causando <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de dano ao longo de <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> s. Os <c val="#ColorAttackInfo">12</c> primeiros tiros são rápidos. Pode se mover enquanto dispara. É cancelado se o alvo sair do alcance.<n/><n/><c val="#ColorAttackInfo">Não pode alvejar unidades e estruturas terrestres.</c>
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Trava as armas do Ciclone na unidade selecionada, causando <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de dano (+400 contra Blindados) ao longo de <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> s a alvos terrestres e voadores. Pode se mover enquanto dispara. A trava é cancelada quando o alvo sai do alcance.
Contains an upgrade for Lurkers.<n/><n/><c val="ffff8a">Enables:</c><n/>- Lurkers from Hydralisks	Contém um aprimoramento para Furtivos.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Furtivos a partir de Hidraliscas
Prototype harvesting unit. Gathers minerals more quickly than regular SCVs. MULEs last <d time="90"/> before their systems fail.	Protótipo de unidade coletora. Coleta minérios mais rapidamente que VCEs comuns. MULEs duram <d time="90"/> até seus sistemas falharem.
Increases <c val="ffff8a">Cyclone's</c> attack range by +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.	Aumenta o alcance de ataque do <c val="ffff8a">Ciclone</c> em <d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.
Recalls all player units in the target area to the Mothership.	Convoca todas as unidades do jogador na área-alvo para a Nave-mãe.
Increases the Medivac's movement speed for <d ref="Behavior,MedivacSpeedBoost,Duration"/> seconds.	Aumenta a velocidade de movimento das Ambunaves por <d ref="Behavior,MedivacSpeedBoost,Duration"/> s.
Target Hatchery, Lair, or Hive spawns <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larvae in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> seconds. If Hatchery, Lair, or Hive has more than 3 Larvae at one time, regular Larva production will stop until there are fewer than 3 Larvae. This will stack and queue if the target is already spawning additional Larva.	A Incubadora, o Antro ou a Colmeia alvejada gera <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larvas em <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> segundos. Se a Incubadora, o Antro ou a Colmeia tiver mais de 3 Larvas ao mesmo tempo, a produção regular de Larvas cessará até haver menos de 3 Larvas. Isso acumulará e entrará em fila se o alvo já estiver gerando larvas adicionais.
Upgrades into the Mothership. Can use Photon Overcharge, Mass Recall and Time Warp. Cloaks nearby units and structures.	Aprimora-se em Nave-mãe. Pode usar Sobrecarga de Fótons, Convocação em Massa e Transdobra Temporal. Camufla unidades e estruturas próximas.
Transforms the Observer to standard Observer Mode. Allows the Observer to move at the cost of decreased sight radius.	Coloca o Vigia no Modo Vigia padrão. Permite que o Vigia se mova, mas com raio de visão reduzido.
Transforms the Observer to Surveillance Mode. The Observer gains <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% wider vision, but loses the ability to move.	Coloca o Vigia no Modo de Observação. O Vigia recebe visão <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% mais ampla, mas perde a capacidade de se mover.
Enables the Overlord to transport units.	Permite que o Suserano transporte unidades.
Restores the Overseer's ability to move and returns its vision to its normal radius.	Restaura a capacidade de movimentação do Supervigia e faz sua visão voltar ao raio normal.
Grants the Overseer <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% wider vision, but removes its ability to move. This ability can be canceled after activation.	Concede ao Supervigia visão <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% mais ampla, mas remove sua capacidade de se mover. Essa habilidade pode ser cancelada depois da ativação.
Ultimate Protoss vessel. Can use Strategic Recall and Time Warp abilities. Cloaks nearby friendly units and structures.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Nave suprema protoss. Pode usar as habilidades Chamado Estratégico e Transdobra Temporal. Camufla unidades e estruturas próximas.<n/><n/><c val="ffff8a">Ataca unidades terrestres e aéreas.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a powerful long-range weapon for <d ref="Behavior,Purify,Duration[0]"/> seconds that deals <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> damage.	Energiza o cristal khaydarin do Pilar Energético alvejado, transformando-o por <d ref="Behavior,Purify,Duration[0]"/> s em uma poderosa arma de longo alcance que causa <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> de dano.
Target unit is controlled by the Infestor for <d ref="Behavior,NeuralParasite,Duration"/> seconds. The Infestor cannot take any other action while controlling an enemy unit.<n/><n/><c val="ffff8a">Channeled ability. Can cast while burrowed.</c><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	A unidade-alvo é controlada pelo Infestador por <d ref="Behavior,NeuralParasite,Duration"/> s. O Infestador não pode executar outras ações enquanto controla uma unidade inimiga.<n/><n/><c val="ffff8a">Habilidade de canalização. Pode ser lançada enquanto entocado.</c><n/><c val="#ColorAttackInfo">Unidades Heroicas são imunes.</c>
Primary structure. Can receive gathered resources. Can use the Chrono Boost and Mass Recall abilities.<n/><n/><c val="ffff8a">Enables:</c><n/>- Probes<n/>- Mothership	Estrutura principal. Recebe recursos extraídos. Usa as habilidades Reforço Temporal e Convocação em Massa. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Sondas<n/>- Nave-mãe
Recalls all units owned by the player in the target area to the Nexus.	Reconvoca todas as unidades do jogador na área-alvo para o Nexus.
Nexus will automatically use energy to restore shields of nearby units.	O Nexus usa energia para restaurar os escudos de unidades próximas automaticamente.
Nexus will no longer automatically target friendly units.	O Nexus não restaura mais unidades aliadas automaticamente.
Restore shields of target unit or structure.<n/><n/><c val="ffff8a">Costs 1 energy for every <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> shields restored.</c>	Restaura escudos da unidade ou estrutura-alvo.<n/><n/><c val="ffff8a">Custa 1 de energia para cada <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> escudos restaurados.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a structure that restores shields of friendly units for <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> seconds.	Energiza o cristal khaydarino do Pilar Energético alvejado, transformando-o em uma estrutura que restaura escudos de unidades aliadas por <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> segundos.
Nydus Worms have <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> armor when emerging from the ground.	Vermes Nydus têm <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> de blindagem quando surgem do chão.
Places a cloaked Stasis Ward at the target location that lasts <d ref="Behavior,StasisWardTimedLife,Duration"/> seconds. Once activated by an enemy ground unit, the ward traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Coloca uma Proteção de Estase camuflado no local selecionado que dura <d ref="Behavior,StasisWardTimedLife,Duration"/> s. Ao ser ativado por uma unidade terrestre inimiga, o campo prende a unidade em estase por <d ref="Behavior,OracleStasisTrapTarget,Duration"/> s. Unidades presas não podem ser atacadas nem afetadas por habilidades.
Advanced aerial observer. Maintains the unit cap set by the Overlord. Can use the Oversight, Spawn Changeling, and Contaminate abilities.<n/><n/><c val="FFE303">Detector</c>	Observador aéreo avançado. Mantém o limite de unidades definido pelo Suserano. Pode utilizar as habilidades Vigilância, Gerar Mutano e Contaminar.<n/><n/><c val="FFE303">Detector</c>
Creates a parasitic cloud that deals <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> damage over <d ref="Behavior,ParasiticBomb,Duration"/> seconds to the target and enemy air units nearby. If the target dies, the cloud remains in the air where the enemy died until it expires.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or structures.</c>	Cria uma nuvem parasítica que causa <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> de dano ao longo de <d ref="Behavior,ParasiticBomb,Duration"/> segundos ao alvo e às unidades aéreas inimigas próximas. Se o alvo morrer, a nuvem permanecerá sobre o local onde o inimigo morreu até expirar.<n/><n/><c val="#ColorAttackInfo">Não pode alvejar unidades terrestres nem estruturas.</c>
Automated defensive laser that intercepts a variety of enemy projectiles. Does not intercept special attacks.<n/><n/><c val="f078ff">Each shot consumes 10 energy.</c>	Laser defensivo automático que intercepta vários projéteis inimigos. Não intercepta ataques especiais.<n/><n/><c val="f078ff">Cada disparo consome 10 de energia.</c>
Improves the Zealot's Charge to deal <d ref="Effect,ChargingDamage,Amount"/> damage to the charged target.	Melhora a Investida do Fanáticus, causando <d ref="Effect,ChargingDamage,Amount"/> de dano ao alvo.
Shoots out a ball of energy that lasts <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds and emits a powerful nova dealing <d ref="Effect,PurificationNovaDamage,Amount"/> splash damage and an additional <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> shield damage to nearby ground units and structures. The Disruptor is immobile while this is active.	Emite uma bola de energia que dura <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> segundos e emite uma nova poderosa que causa <d ref="Effect,PurificationNovaDamage,Amount"/> de dano colateral e dano de escudo adicional de <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> às unidades terrestres e estruturas próximas. O Disruptor fica imóvel enquanto esse efeito está ativo.
Reduces the cooldown of Medivac's Ignite Afterburners by <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> and increases the movement speed of Medivacs.	Reduz a recarga da Ignição Pós-combustão da Ambunave em <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> e aumenta a velocidade de movimento das Ambunaves.
Aerial support unit. Can use Auto-Turret, Interference Matrix, and Anti-Armor Missile.<n/><n/><c val="FFE303">Detector</c>	Unidade de apoio aéreo. Pode utilizar torre de artilharia automatizada, Matriz de Interferência e Míssil Antiblindagem.<n/><n/><c val="FFE303">Detector</c>
Increases the Raven's Anti-Armor Missile explosion radius by 20% and its tracking range by 50%.	Aumenta o raio da explosão do Míssil Antiblindagem do Corvo em 20% e seu alcance de rastreamento em 50%.
Increases the Seeker Missile's damage by 30% and its tracking range by 50%.	Aumenta em 30% o dano e em 50% o alcance de rastreamento do Míssil Teleguiado.
Repairs nearby friendly mechanical units for <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> seconds.	Conserta unidades mecânicas aliadas próximas por <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> s.
Repair a friendly mechanical target.<n/><n/><c val="f078ff">Repairs <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	Conserta um alvo mecânico aliado.<n/><n/><c val="f078ff">Cura <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> de Vida por ponto de energia.</c>
