Amorphous Armorcloud	Protezione informe
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs Armored) damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First four shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	Le armi del Cyclone si agganciano all'unità o struttura aerea bersaglio, infliggendo <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> danni (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> contro corazzate) in <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> secondi. Emette i primi quattro colpi in rapida successione. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.<n/><n/><c val="#ColorAttackInfo">Non può colpire unità o strutture di terra.</c>
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First <c val="#ColorAttackInfo">12</c> shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	Le armi del Cyclone si agganciano all'unità o struttura aerea bersaglio, infliggendo <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> danni in <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> secondi. Emette i primi <c val="#ColorAttackInfo">12</c> colpi in rapida successione. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.<n/><n/><c val="#ColorAttackInfo">Non può colpire unità o strutture di terra.</c>
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Le armi del Cyclone si agganciano all'unità bersaglio, infliggendo <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> danni (+400 contro corazzate) in <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondi a unità terrestri e aeree. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.
Prototype harvesting unit. Gathers minerals more quickly than regular SCVs. MULEs last <d time="90"/> before their systems fail.	Prototipo di unità da estrazione. Raccoglie minerali più velocemente dei normali SCV. I MULE rimangono in campo <d time="90"/> prima che il loro sistema vada in avaria.
Increases <c val="ffff8a">Cyclone's</c> attack range by +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.	Estende la portata d'attacco dei <c val="ffff8a">Cyclone</c> di <d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.
Recalls all player units in the target area to the Mothership.	Richiama alla Nave madre tutte le unità del giocatore in una zona.
Increases the Medivac's movement speed for <d ref="Behavior,MedivacSpeedBoost,Duration"/> seconds.	Aumenta la velocità di movimento della Navetta medica per <d ref="Behavior,MedivacSpeedBoost,Duration"/> secondi.
Target Hatchery, Lair, or Hive spawns <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larvae in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> seconds. If Hatchery, Lair, or Hive has more than 3 Larvae at one time, regular Larva production will stop until there are fewer than 3 Larvae. This will stack and queue if the target is already spawning additional Larva.	Il Vivaio, la Tana o l'Alveare selezionato genera <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larve in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> secondi. Se il Vivaio, la Tana o l'Alveare ha più di 3 Larve in un dato momento, la normale produzione di Larve si blocca finché il loro numero non diminuisce. L'effetto si accumula in coda se il bersaglio sta già generando Larve aggiuntive.
Upgrades into the Mothership. Can use Photon Overcharge, Mass Recall and Time Warp. Cloaks nearby units and structures.	Diventa una Nave madre. Può usare Sovraccarico fotonico, Richiamo di massa e Distorsione temporale. Occulta le unità e le strutture alleate circostanti.
Transforms the Observer to standard Observer Mode. Allows the Observer to move at the cost of decreased sight radius.	Mette l'Osservatore nel suo normale assetto. L'Osservatore può muoversi ma la sua visuale è ridotta.
Transforms the Observer to Surveillance Mode. The Observer gains <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% wider vision, but loses the ability to move.	Mette l'Osservatore in Assetto di sorveglianza. La sua visuale è estesa del <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%, ma non può muoversi.
Enables the Overlord to transport units.	Consente al Sorvegliante di trasportare unità.
Restores the Overseer's ability to move and returns its vision to its normal radius.	Consente ai Custodi di muoversi e ripristina la loro normale visuale.
Grants the Overseer <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% wider vision, but removes its ability to move. This ability can be canceled after activation.	Aumenta del <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% la visuale dei Custodi, ma ne impedisce il movimento. L'abilità può essere annullata dopo l'attivazione.
Ultimate Protoss vessel. Can use Strategic Recall and Time Warp abilities. Cloaks nearby friendly units and structures.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Nave ammiraglia protoss. Può usare le abilità Richiamo strategico e Distorsione temporale. Occulta le unità e le strutture alleate circostanti.<n/><n/><c val="ffff8a">Può attaccare unità aeree e terrestri.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a powerful long-range weapon for <d ref="Behavior,Purify,Duration[0]"/> seconds that deals <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> damage.	Infonde energia al cristallo khaydarin del Pilone selezionato, trasformandolo per <d ref="Behavior,Purify,Duration[0]"/> secondi in una potente arma a lungo raggio che infligge <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> danni.
Target unit is controlled by the Infestor for <d ref="Behavior,NeuralParasite,Duration"/> seconds. The Infestor cannot take any other action while controlling an enemy unit.<n/><n/><c val="ffff8a">Channeled ability. Can cast while burrowed.</c><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	L'unità colpita viene dominata dall'Infestatore per <d ref="Behavior,NeuralParasite,Duration"/> secondi: l'Infestatore non può compiere altre azioni finché controlla un'unità nemica.<n/><n/><c val="ffff8a">Abilità incanalata. Può essere usata da rintanati.</c><n/><c val="#ColorAttackInfo">Le unità eroiche sono immuni.</c>
Primary structure. Can receive gathered resources. Can use the Chrono Boost and Mass Recall abilities.<n/><n/><c val="ffff8a">Enables:</c><n/>- Probes<n/>- Mothership	Struttura primaria. Può ricevere le risorse raccolte. Può usare Accelerazione temporale e Richiamo di massa.<n/><n/><c val="ffff8a">Consente:</c><n/>- Sonde<n/>- Navi madre
Recalls all units owned by the player in the target area to the Nexus.	Richiama al Nexus tutte le unità del giocatore in una zona.
Nexus will automatically use energy to restore shields of nearby units.	Il Nexus utilizza automaticamente energia per ripristinare gli scudi delle unità circostanti.
Nexus will no longer automatically target friendly units.	Il Nexus non seleziona più automaticamente le unità alleate.
Restore shields of target unit or structure.<n/><n/><c val="ffff8a">Costs 1 energy for every <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> shields restored.</c>	Ripristina gli scudi dell'unità o struttura selezionate.<n/><n/><c val="ffff8a">Costa 1 punto energia per ogni <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> punti scudo ripristinati.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a structure that restores shields of friendly units for <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> seconds.	Infonde energia al cristallo khaydarin del Pilone selezionato, trasformandolo per <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> secondi in una struttura che ripristina gli scudi delle unità alleate.
Nydus Worms have <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> armor when emerging from the ground.	I Vermi Nydus hanno <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> corazza quando emergono dal suolo.
Places a cloaked Stasis Ward at the target location that lasts <d ref="Behavior,StasisWardTimedLife,Duration"/> seconds. Once activated by an enemy ground unit, the ward traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Piazza sul terreno una Guardia di stasi occultata che dura <d ref="Behavior,StasisWardTimedLife,Duration"/> secondi. Una volta attivata da un'unità terrestre nemica, la guardia intrappola i nemici circostanti mettendoli in stasi per <d ref="Behavior,OracleStasisTrapTarget,Duration"/> secondi. Le unità intrappolate non possono essere attaccate né colpite dalle abilità.
Advanced aerial observer. Maintains the unit cap set by the Overlord. Can use the Oversight, Spawn Changeling, and Contaminate abilities.<n/><n/><c val="FFE303">Detector</c>	Osservatore aereo avanzato. Mantiene il limite di unità ottenuto grazie al Sorvegliante. Può usare le abilità Supervisione, Genera Mutaforma e Contaminazione.<n/><n/><c val="FFE303">Individuatore</c>
Creates a parasitic cloud that deals <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> damage over <d ref="Behavior,ParasiticBomb,Duration"/> seconds to the target and enemy air units nearby. If the target dies, the cloud remains in the air where the enemy died until it expires.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or structures.</c>	Crea una nube parassitaria che infligge <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> danni in <d ref="Behavior,ParasiticBomb,Duration"/> secondi al bersaglio e alle unità aeree nemiche vicine. Se il bersaglio muore, la nube resta in aria fino alla scadenza nel punto in cui il nemico è morto.<n/><n/><c val="#ColorAttackInfo">Non può colpire unità di terra o strutture.</c>
Automated defensive laser that intercepts a variety of enemy projectiles. Does not intercept special attacks.<n/><n/><c val="f078ff">Each shot consumes 10 energy.</c>	Laser di difesa automatico che intercetta i proiettili nemici. Non intercetta gli attacchi speciali.<n/><n/><c val="f078ff">Ogni colpo consuma 10 energia.</c>
Improves the Zealot's Charge to deal <d ref="Effect,ChargingDamage,Amount"/> damage to the charged target.	Potenzia Carica degli Zeloti, consentendo di infliggere <d ref="Effect,ChargingDamage,Amount"/> danni al bersaglio.
Shoots out a ball of energy that lasts <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds and emits a powerful nova dealing <d ref="Effect,PurificationNovaDamage,Amount"/> splash damage and an additional <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> shield damage to nearby ground units and structures. The Disruptor is immobile while this is active.	Spara una sfera d'energia che dura <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> secondi ed emette una potente esplosione che infligge <d ref="Effect,PurificationNovaDamage,Amount"/> danni radiali oltre a <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> danni agli scudi alle unità terrestri e alle strutture vicine. Il Disgregatore rimane immobile durante il processo.
Reduces the cooldown of Medivac's Ignite Afterburners by <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> and increases the movement speed of Medivacs.	Riduce di <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> il tempo di recupero di Postbruciatori delle Navette mediche e aumenta la velocità di movimento.
Aerial support unit. Can use Auto-Turret, Interference Matrix, and Anti-Armor Missile.<n/><n/><c val="FFE303">Detector</c>	Unità di supporto aereo. Può usare Torretta automatica, Matrice d'interferenza e Missile anti-blindatura.<n/><n/><c val="FFE303">Individuatore</c>
Increases the Raven's Anti-Armor Missile explosion radius by 20% and its tracking range by 50%.	Estende del 20% il raggio dell'esplosione di Missile anti-blindatura dei Raven e ne estende del 50% la portata di acquisizione dei bersagli.
Increases the Seeker Missile's damage by 30% and its tracking range by 50%.	Aumenta del 30% i danni di Missile a ricerca e ne estende del 50% la portata di acquisizione dei bersagli.
Repairs nearby friendly mechanical units for <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> seconds.	Ripara le unità meccaniche alleate vicine per <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> secondi.
Repair a friendly mechanical target.<n/><n/><c val="f078ff">Repairs <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	Ripara un'unità meccanica alleata.<n/><n/><c val="f078ff">Cura <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> punti vita per 1 punto energia.</c>
Increases the <c val="ffff8a">Raven's</c> Anti-Armor Missile explosion radius by 20% and its tracking range by 50%.	Estende del 20% il raggio dell'esplosione di Missile anti-blindatura dei <c val="ffff8a">Raven</c> e ne estende del 50% la portata di acquisizione dei bersagli.
