Amorphous Armorcloud	Armure de brume
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs Armored) damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First four shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	Verrouille les armes du Cyclone sur l’unité ou le bâtiment aérien ciblé et inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> points de dégâts (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> aux unités blindées) en <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> secondes. Les quatre premiers tirs sont rapides. Fonctionne aussi en mouvement. S’interrompt si la cible s’éloigne hors de portée.<n/><n/><c val="#ColorAttackInfo">Ne peut pas cibler les unités et les bâtiments terrestres.</c>
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First <c val="#ColorAttackInfo">12</c> shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	Verrouille les armes du Cyclone sur l’unité ou le bâtiment aérien ciblé et inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> points de dégâts en <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> secondes. Les <c val="#ColorAttackInfo">12</c> premiers tirs s’enchaînent rapidement. Fonctionne aussi en mouvement. S’interrompt si la cible s’éloigne hors de portée.<n/><n/><c val="#ColorAttackInfo">Ne peut pas cibler les unités et les bâtiments terrestres.</c>
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	Verrouille les armes du Cyclone sur l’unité ciblée, infligeant <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> (+400 aux unités blindées) points de dégâts en <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondes aux unités terrestres et aériennes. Fonctionne aussi en mouvement. S’interrompt si la cible s’éloigne hors de portée.
Contains an upgrade for Lurkers.<n/><n/><c val="ffff8a">Enables:</c><n/>- Lurkers from Hydralisks	Permet des améliorations pour les rôdeurs.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Rôdeur à partir d’un hydralisk
Prototype harvesting unit. Gathers minerals more quickly than regular SCVs. MULEs last <d time="90"/> before their systems fail.	Prototype d’unité de récolte. Récolte le minerai plus vite que les VCS normaux. Les systèmes du MULE ont une durée de vie de <d time="90"/> secondes.
Increases <c val="ffff8a">Cyclone's</c> attack range by +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.	Augmente de +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/> la portée d'attaque du <c val="ffff8a">Cyclone</c>.
Recalls all player units in the target area to the Mothership.	Téléporte toutes les unités du joueur dans la zone ciblée vers le vaisseau mère.
Increases the Medivac's movement speed for <d ref="Behavior,MedivacSpeedBoost,Duration"/> seconds.	Augmente la vitesse de déplacement du Médivac pendant <d ref="Behavior,MedivacSpeedBoost,Duration"/> secondes.
Target Hatchery, Lair, or Hive spawns <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larvae in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> seconds. If Hatchery, Lair, or Hive has more than 3 Larvae at one time, regular Larva production will stop until there are fewer than 3 Larvae. This will stack and queue if the target is already spawning additional Larva.	La couveuse, le terrier ou la ruche ciblé génère <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> larves en <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> secondes. La production normale de larves sera suspendue tant qu’il y aura 3 larves ou plus autour du bâtiment. Les ordres de production se cumuleront et se placeront en file d'attente si la cible est déjà en train de générer des larves supplémentaires.
Upgrades into the Mothership. Can use Photon Overcharge, Mass Recall and Time Warp. Cloaks nearby units and structures.	Amélioration en vaisseau mère. Peut utiliser Surcharge photonique, Rappel en masse et Distorsion temporelle. Camoufle les unités et bâtiments proches.
Transforms the Observer to standard Observer Mode. Allows the Observer to move at the cost of decreased sight radius.	L’observateur passe en mode observateur standard. Permet à l’observateur de se déplacer, mais réduit son champ de vision.
Transforms the Observer to Surveillance Mode. The Observer gains <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% wider vision, but loses the ability to move.	L’observateur passe en mode surveillance. Son champ de vision augmente de <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%, mais il perd la capacité à se déplacer.
Enables the Overlord to transport units.	Permet au dominant de transporter des unités.
Restores the Overseer's ability to move and returns its vision to its normal radius.	Le vigilant peut de nouveau se déplacer et récupère son champ de vision normal.
Grants the Overseer <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% wider vision, but removes its ability to move. This ability can be canceled after activation.	Le champ de vision du vigilant augmente de <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>%, mais il perd sa capacité à se déplacer. Peut être annulé après activation.
Ultimate Protoss vessel. Can use Strategic Recall and Time Warp abilities. Cloaks nearby friendly units and structures.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Vaisseau protoss ultime. Peut utiliser Rappel stratégique et Distorsion temporelle. Camoufle les unités et bâtiments alliés proches.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres et aériennes.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a powerful long-range weapon for <d ref="Behavior,Purify,Duration[0]"/> seconds that deals <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> damage.	Alimente le cristal Khaydarin du pylône ciblé, le transformant en une puissante arme à longue portée pendant <d ref="Behavior,Purify,Duration[0]"/> secondes, infligeant <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> points de dégâts.
Target unit is controlled by the Infestor for <d ref="Behavior,NeuralParasite,Duration"/> seconds. The Infestor cannot take any other action while controlling an enemy unit.<n/><n/><c val="ffff8a">Channeled ability. Can cast while burrowed.</c><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	L’unité ciblée est contrôlée par l’infestateur pendant <d ref="Behavior,NeuralParasite,Duration"/> secondes. L’infestateur ne peut pas effectuer d’autre action tant qu’il contrôle une unité ennemie.<n/><n/><c val="ffff8a">Capacité canalisée. Peut être utilisé en étant enfoui.</c><n/><c val="#ColorAttackInfo">Les unités héroïques sont immunisées.</c>
Primary structure. Can receive gathered resources. Can use the Chrono Boost and Mass Recall abilities.<n/><n/><c val="ffff8a">Enables:</c><n/>- Probes<n/>- Mothership	Bâtiment principal. Reçoit les ressources collectées. Peut utiliser les capacités Poussée temporelle et Rappel en masse.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Sonde<n/>- Vaisseau mère
Recalls all units owned by the player in the target area to the Nexus.	Téléporte toutes les unités du joueur dans la zone ciblée au Nexus.
Nexus will automatically use energy to restore shields of nearby units.	Le Nexus utilise l’énergie automatiquement pour restaurer les boucliers des unités proches.
Nexus will no longer automatically target friendly units.	Le Nexus ne cible plus automatiquement les unités alliées.
Restore shields of target unit or structure.<n/><n/><c val="ffff8a">Costs 1 energy for every <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> shields restored.</c>	Reconstitue le bouclier de l’unité ou du bâtiment ciblé.<n/><n/><c val="ffff8a">Coûte 1 point d’énergie par <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> point de bouclier restauré.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a structure that restores shields of friendly units for <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> seconds.	Alimente le cristal Khaydarin du pylône ciblé, le transformant en un bâtiment qui restaure le bouclier des unités alliées pendant <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> secondes.
Nydus Worms have <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> armor when emerging from the ground.	Confère <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> points d’armure aux vers de Nydus quand ils refont surface.
Places a cloaked Stasis Ward at the target location that lasts <d ref="Behavior,StasisWardTimedLife,Duration"/> seconds. Once activated by an enemy ground unit, the ward traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	Place à l’endroit ciblé une mine de stase camouflée qui dure <d ref="Behavior,StasisWardTimedLife,Duration"/> secondes. Lorsqu’une unité terrestre adverse déclenche la mine, les ennemis proches se retrouvent plongés en stase pendant <d ref="Behavior,OracleStasisTrapTarget,Duration"/> secondes. Les unités ainsi immobilisées ne peuvent plus être la cible d’attaques ou de capacités.
Advanced aerial observer. Maintains the unit cap set by the Overlord. Can use the Oversight, Spawn Changeling, and Contaminate abilities.<n/><n/><c val="FFE303">Detector</c>	Observateur aérien avancé. Fournit le même ravitaillement qu’un dominant. Peut utiliser les capacités Vigilance, Générer un changelin et Infecter.<n/><n/><c val="FFE303">Détecteur</c>
Creates a parasitic cloud that deals <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> damage over <d ref="Behavior,ParasiticBomb,Duration"/> seconds to the target and enemy air units nearby. If the target dies, the cloud remains in the air where the enemy died until it expires.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or structures.</c>	Crée un nuage de parasites qui inflige <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> points de dégâts en <d ref="Behavior,ParasiticBomb,Duration"/> secondes à la cible et aux unités aériennes ennemies à proximité. Si la cible est tuée, le nuage reste dans les airs à l’endroit où l’ennemi a été tué pendant le restant de la durée. <n/><n/><c val="#ColorAttackInfo">Ne peut pas cibler d’unités terrestres ou de bâtiments.</c>
Automated defensive laser that intercepts a variety of enemy projectiles. Does not intercept special attacks.<n/><n/><c val="f078ff">Each shot consumes 10 energy.</c>	Laser défensif automatisé qui intercepte toute une variété de projectiles ennemis. N’intercepte pas les attaques spéciales.<n/><n/><c val="f078ff">Chaque tir consomme 10 points d’énergie.</c>
Improves the Zealot's Charge to deal <d ref="Effect,ChargingDamage,Amount"/> damage to the charged target.	Améliore la charge du zélote, qui inflige <d ref="Effect,ChargingDamage,Amount"/> points de dégâts à la cible chargée.
Shoots out a ball of energy that lasts <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds and emits a powerful nova dealing <d ref="Effect,PurificationNovaDamage,Amount"/> splash damage and an additional <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> shield damage to nearby ground units and structures. The Disruptor is immobile while this is active.	Projette une boule d’énergie qui dure  <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> secondes et émet une puissante nova qui inflige <d ref="Effect,PurificationNovaDamage,Amount"/> points de dégâts de zone, plus <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> points de dégâts aux boucliers des unités terrestres et des bâtiments proches. Le disrupteur ne peut se déplacer tant que cette capacité est active.
